corruption_type,rate,episodes,success_rate,mean_expansions,mean_pruned_commitments
false_negative,0.0,240,1.0,61.09583333333333,4.891666666666667
false_negative,0.25,240,1.0,73.92083333333333,5.683333333333334
false_negative,0.5,240,1.0,100.30416666666666,6.875
false_negative,0.75,240,1.0,189.05416666666667,9.829166666666667
false_negative,1.0,240,1.0,713.3541666666666,0.0
false_positive,0.0,240,1.0,61.09583333333333,4.891666666666667
false_positive,0.01,240,0.8041666666666667,52.49166666666667,4.429166666666666
false_positive,0.02,240,0.7,48.375,4.191666666666666
false_positive,0.05,240,0.475,37.71666666666667,3.6875
false_positive,0.1,240,0.2,25.829166666666666,3.1458333333333335
