episode_id,method,success,cost,gate_crossings,expansions,pruned_commitments,zones,nodes,objects,certificates,failure_reason
0,greedy_local,0,,6,66,0,7,41,11,6,attempted_reverse_or_nonexistent_committed_edge
0,relaxed_agenda,0,,6,492,0,7,41,11,6,attempted_reverse_or_nonexistent_committed_edge
0,exact_lifted_astar,1,34,,3485,0,7,41,11,6,success
0,scp_cut_obligations,1,34,,86,10,7,41,11,6,success
1,greedy_local,0,,5,36,0,6,34,8,5,attempted_reverse_or_nonexistent_committed_edge
1,relaxed_agenda,0,,5,306,0,6,34,8,5,attempted_reverse_or_nonexistent_committed_edge
1,exact_lifted_astar,1,31,,1391,0,6,34,8,5,success
1,scp_cut_obligations,1,31,,73,8,6,34,8,5,success
2,greedy_local,0,,5,55,0,7,33,10,6,attempted_reverse_or_nonexistent_committed_edge
2,relaxed_agenda,0,,5,363,0,7,33,10,6,attempted_reverse_or_nonexistent_committed_edge
2,exact_lifted_astar,1,32,,215,0,7,33,10,6,success
2,scp_cut_obligations,1,32,,60,4,7,33,10,6,success
3,greedy_local,0,,1,21,0,5,29,6,4,attempted_reverse_or_nonexistent_committed_edge
3,relaxed_agenda,0,,4,203,0,5,29,6,4,attempted_reverse_or_nonexistent_committed_edge
3,exact_lifted_astar,1,26,,64,0,5,29,6,4,success
3,scp_cut_obligations,1,26,,39,1,5,29,6,4,success
4,greedy_local,0,,4,21,0,6,30,6,5,attempted_reverse_or_nonexistent_committed_edge
4,relaxed_agenda,0,,4,210,0,6,30,6,5,attempted_reverse_or_nonexistent_committed_edge
4,exact_lifted_astar,1,25,,95,0,6,30,6,5,success
4,scp_cut_obligations,1,25,,45,3,6,30,6,5,success
5,greedy_local,0,,6,91,0,7,43,13,6,attempted_reverse_or_nonexistent_committed_edge
5,relaxed_agenda,0,,6,602,0,7,43,13,6,attempted_reverse_or_nonexistent_committed_edge
5,exact_lifted_astar,1,40,,719,0,7,43,13,6,success
5,scp_cut_obligations,1,40,,91,5,7,43,13,6,success
6,greedy_local,0,,6,36,0,7,37,8,6,attempted_reverse_or_nonexistent_committed_edge
6,relaxed_agenda,0,,6,333,0,7,37,8,6,attempted_reverse_or_nonexistent_committed_edge
6,exact_lifted_astar,1,34,,246,0,7,37,8,6,success
6,scp_cut_obligations,1,34,,60,4,7,37,8,6,success
7,greedy_local,1,23,4,21,0,5,24,6,4,success
7,relaxed_agenda,0,,3,168,0,5,24,6,4,attempted_reverse_or_nonexistent_committed_edge
7,exact_lifted_astar,1,23,,209,0,5,24,6,4,success
7,scp_cut_obligations,1,23,,42,5,5,24,6,4,success
8,greedy_local,1,16,3,21,0,4,18,6,3,success
8,relaxed_agenda,0,,3,126,0,4,18,6,3,attempted_reverse_or_nonexistent_committed_edge
8,exact_lifted_astar,1,16,,48,0,4,18,6,3,success
8,scp_cut_obligations,1,16,,29,2,4,18,6,3,success
9,greedy_local,0,,7,78,0,8,39,12,7,attempted_reverse_or_nonexistent_committed_edge
9,relaxed_agenda,0,,7,507,0,8,39,12,7,attempted_reverse_or_nonexistent_committed_edge
9,exact_lifted_astar,1,33,,354,0,8,39,12,7,success
9,scp_cut_obligations,1,33,,68,4,8,39,12,7,success
10,greedy_local,0,,6,66,0,8,43,11,7,attempted_reverse_or_nonexistent_committed_edge
10,relaxed_agenda,0,,6,516,0,8,43,11,7,attempted_reverse_or_nonexistent_committed_edge
10,exact_lifted_astar,1,34,,10700,0,8,43,11,7,success
10,scp_cut_obligations,1,34,,102,14,8,43,11,7,success
11,greedy_local,1,19,3,21,0,4,22,6,3,success
11,relaxed_agenda,0,,3,154,0,4,22,6,3,attempted_reverse_or_nonexistent_committed_edge
11,exact_lifted_astar,1,18,,144,0,4,22,6,3,success
11,scp_cut_obligations,1,18,,48,4,4,22,6,3,success
12,greedy_local,0,,3,21,0,5,26,6,4,attempted_reverse_or_nonexistent_committed_edge
12,relaxed_agenda,0,,3,182,0,5,26,6,4,attempted_reverse_or_nonexistent_committed_edge
12,exact_lifted_astar,1,21,,155,0,5,26,6,4,success
12,scp_cut_obligations,1,21,,45,4,5,26,6,4,success
13,greedy_local,0,,6,45,0,7,41,9,6,attempted_reverse_or_nonexistent_committed_edge
13,relaxed_agenda,0,,6,410,0,7,41,9,6,attempted_reverse_or_nonexistent_committed_edge
13,exact_lifted_astar,1,35,,1123,0,7,41,9,6,success
13,scp_cut_obligations,1,35,,81,7,7,41,9,6,success
14,greedy_local,1,33,6,66,0,7,37,11,6,success
14,relaxed_agenda,0,,6,444,0,7,37,11,6,attempted_reverse_or_nonexistent_committed_edge
14,exact_lifted_astar,1,33,,1015,0,7,37,11,6,success
14,scp_cut_obligations,1,33,,72,8,7,37,11,6,success
15,greedy_local,1,26,4,15,0,5,30,5,4,success
15,relaxed_agenda,0,,4,180,0,5,30,5,4,attempted_reverse_or_nonexistent_committed_edge
15,exact_lifted_astar,1,26,,39,0,5,30,5,4,success
15,scp_cut_obligations,1,26,,39,0,5,30,5,4,success
16,greedy_local,0,,6,55,0,8,45,10,7,attempted_reverse_or_nonexistent_committed_edge
16,relaxed_agenda,0,,6,495,0,8,45,10,7,attempted_reverse_or_nonexistent_committed_edge
16,exact_lifted_astar,1,39,,666,0,8,45,10,7,success
16,scp_cut_obligations,1,39,,80,7,8,45,10,7,success
17,greedy_local,0,,4,36,0,6,32,8,5,attempted_reverse_or_nonexistent_committed_edge
17,relaxed_agenda,0,,4,288,0,6,32,8,5,attempted_reverse_or_nonexistent_committed_edge
17,exact_lifted_astar,1,28,,178,0,6,32,8,5,success
17,scp_cut_obligations,1,28,,58,4,6,32,8,5,success
18,greedy_local,1,35,6,36,0,7,39,8,6,success
18,relaxed_agenda,0,,5,351,0,7,39,8,6,attempted_reverse_or_nonexistent_committed_edge
18,exact_lifted_astar,1,35,,559,0,7,39,8,6,success
18,scp_cut_obligations,1,35,,69,5,7,39,8,6,success
19,greedy_local,0,,3,10,0,4,22,4,3,attempted_reverse_or_nonexistent_committed_edge
19,relaxed_agenda,0,,3,110,0,4,22,4,3,attempted_reverse_or_nonexistent_committed_edge
19,exact_lifted_astar,1,20,,78,0,4,22,4,3,success
19,scp_cut_obligations,1,20,,34,2,4,22,4,3,success
20,greedy_local,0,,5,55,0,7,34,10,6,attempted_reverse_or_nonexistent_committed_edge
20,relaxed_agenda,0,,5,374,0,7,34,10,6,attempted_reverse_or_nonexistent_committed_edge
20,exact_lifted_astar,1,31,,1242,0,7,34,10,6,success
20,scp_cut_obligations,1,31,,76,8,7,34,10,6,success
21,greedy_local,0,,3,21,0,4,22,6,3,attempted_reverse_or_nonexistent_committed_edge
21,relaxed_agenda,0,,3,154,0,4,22,6,3,attempted_reverse_or_nonexistent_committed_edge
21,exact_lifted_astar,1,17,,155,0,4,22,6,3,success
21,scp_cut_obligations,1,17,,53,4,4,22,6,3,success
22,greedy_local,1,39,7,78,0,8,45,12,7,success
22,relaxed_agenda,0,,7,585,0,8,45,12,7,attempted_reverse_or_nonexistent_committed_edge
22,exact_lifted_astar,1,39,,7480,0,8,45,12,7,success
22,scp_cut_obligations,1,39,,104,12,8,45,12,7,success
23,greedy_local,0,,5,36,0,6,30,8,5,attempted_reverse_or_nonexistent_committed_edge
23,relaxed_agenda,0,,5,270,0,6,30,8,5,attempted_reverse_or_nonexistent_committed_edge
23,exact_lifted_astar,1,28,,209,0,6,30,8,5,success
23,scp_cut_obligations,1,28,,49,3,6,30,8,5,success
24,greedy_local,1,22,4,21,0,5,26,6,4,success
24,relaxed_agenda,0,,3,182,0,5,26,6,4,attempted_reverse_or_nonexistent_committed_edge
24,exact_lifted_astar,1,22,,71,0,5,26,6,4,success
24,scp_cut_obligations,1,22,,44,3,5,26,6,4,success
25,greedy_local,0,,4,28,0,5,28,7,4,attempted_reverse_or_nonexistent_committed_edge
25,relaxed_agenda,0,,4,224,0,5,28,7,4,attempted_reverse_or_nonexistent_committed_edge
25,exact_lifted_astar,1,25,,212,0,5,28,7,4,success
25,scp_cut_obligations,1,25,,48,4,5,28,7,4,success
26,greedy_local,1,20,3,45,0,4,21,9,3,success
26,relaxed_agenda,0,,3,210,0,4,21,9,3,attempted_reverse_or_nonexistent_committed_edge
26,exact_lifted_astar,1,20,,187,0,4,21,9,3,success
26,scp_cut_obligations,1,20,,52,6,4,21,9,3,success
27,greedy_local,1,23,4,15,0,5,25,5,4,success
27,relaxed_agenda,0,,3,150,0,5,25,5,4,attempted_reverse_or_nonexistent_committed_edge
27,exact_lifted_astar,1,23,,38,0,5,25,5,4,success
27,scp_cut_obligations,1,23,,33,1,5,25,5,4,success
28,greedy_local,0,,6,45,0,7,39,9,6,attempted_reverse_or_nonexistent_committed_edge
28,relaxed_agenda,0,,6,390,0,7,39,9,6,attempted_reverse_or_nonexistent_committed_edge
28,exact_lifted_astar,1,37,,592,0,7,39,9,6,success
28,scp_cut_obligations,1,37,,73,6,7,39,9,6,success
29,greedy_local,0,,6,91,0,7,42,13,6,attempted_reverse_or_nonexistent_committed_edge
29,relaxed_agenda,0,,6,588,0,7,42,13,6,attempted_reverse_or_nonexistent_committed_edge
29,exact_lifted_astar,1,41,,9498,0,7,42,13,6,success
29,scp_cut_obligations,1,41,,106,11,7,42,13,6,success
30,greedy_local,0,,3,28,0,4,19,7,3,attempted_reverse_or_nonexistent_committed_edge
30,relaxed_agenda,0,,3,152,0,4,19,7,3,attempted_reverse_or_nonexistent_committed_edge
30,exact_lifted_astar,1,18,,87,0,4,19,7,3,success
30,scp_cut_obligations,1,18,,33,3,4,19,7,3,success
31,greedy_local,0,,3,28,0,5,27,7,4,attempted_reverse_or_nonexistent_committed_edge
31,relaxed_agenda,0,,3,216,0,5,27,7,4,attempted_reverse_or_nonexistent_committed_edge
31,exact_lifted_astar,1,25,,252,0,5,27,7,4,success
31,scp_cut_obligations,1,25,,54,6,5,27,7,4,success
32,greedy_local,1,31,5,36,0,6,36,8,5,success
32,relaxed_agenda,0,,5,324,0,6,36,8,5,attempted_reverse_or_nonexistent_committed_edge
32,exact_lifted_astar,1,31,,153,0,6,36,8,5,success
32,scp_cut_obligations,1,31,,59,3,6,36,8,5,success
33,greedy_local,1,39,7,66,0,8,42,11,7,success
33,relaxed_agenda,0,,7,504,0,8,42,11,7,attempted_reverse_or_nonexistent_committed_edge
33,exact_lifted_astar,1,39,,329,0,8,42,11,7,success
33,scp_cut_obligations,1,39,,76,5,8,42,11,7,success
34,greedy_local,1,21,4,36,0,5,28,8,4,success
34,relaxed_agenda,0,,4,252,0,5,28,8,4,attempted_reverse_or_nonexistent_committed_edge
34,exact_lifted_astar,1,21,,316,0,5,28,8,4,success
34,scp_cut_obligations,1,21,,68,6,5,28,8,4,success
35,greedy_local,1,29,4,21,0,5,31,6,4,success
35,relaxed_agenda,0,,4,217,0,5,31,6,4,attempted_reverse_or_nonexistent_committed_edge
35,exact_lifted_astar,1,29,,105,0,5,31,6,4,success
35,scp_cut_obligations,1,29,,44,2,5,31,6,4,success
36,greedy_local,1,23,4,28,0,5,25,7,4,success
36,relaxed_agenda,0,,4,200,0,5,25,7,4,attempted_reverse_or_nonexistent_committed_edge
36,exact_lifted_astar,1,23,,94,0,5,25,7,4,success
36,scp_cut_obligations,1,23,,39,3,5,25,7,4,success
37,greedy_local,0,,6,55,0,7,37,10,6,attempted_reverse_or_nonexistent_committed_edge
37,relaxed_agenda,0,,6,407,0,7,37,10,6,attempted_reverse_or_nonexistent_committed_edge
37,exact_lifted_astar,1,33,,667,0,7,37,10,6,success
37,scp_cut_obligations,1,33,,68,5,7,37,10,6,success
38,greedy_local,1,23,3,10,0,4,25,4,3,success
38,relaxed_agenda,0,,2,125,0,4,25,4,3,attempted_reverse_or_nonexistent_committed_edge
38,exact_lifted_astar,1,23,,72,0,4,25,4,3,success
38,scp_cut_obligations,1,23,,41,4,4,25,4,3,success
39,greedy_local,0,,2,21,0,4,23,6,3,attempted_reverse_or_nonexistent_committed_edge
39,relaxed_agenda,0,,2,161,0,4,23,6,3,attempted_reverse_or_nonexistent_committed_edge
39,exact_lifted_astar,1,22,,548,0,4,23,6,3,success
39,scp_cut_obligations,1,22,,64,8,4,23,6,3,success
40,greedy_local,1,20,3,21,0,4,23,6,3,success
40,relaxed_agenda,0,,3,161,0,4,23,6,3,attempted_reverse_or_nonexistent_committed_edge
