family,corruption_type,false_negative_rate,false_positive_rate,seed,method,success,cost,expansions,pruned_commitments,frontier_peak,reason
certificate_corruption,false_negative,0.0,0.0,0,scp_corrupted,1.0,40.0,208.98667934208544,8.0,41.79733586841709,success
certificate_corruption,false_negative,0.0,0.0,1,scp_corrupted,1.0,41.0,208.54372041092753,9.0,41.70874408218551,success
certificate_corruption,false_negative,0.0,0.0,2,scp_corrupted,1.0,42.0,235.82416208372635,10.0,47.16483241674527,success
certificate_corruption,false_negative,0.0,0.0,3,scp_corrupted,1.0,40.0,209.09720406298598,8.0,41.8194408125972,success
certificate_corruption,false_negative,0.0,0.0,4,scp_corrupted,1.0,42.0,236.1738910592603,10.0,47.23477821185207,success
certificate_corruption,false_negative,0.0,0.0,5,scp_corrupted,1.0,42.0,224.24211978771967,10.0,44.848423957543936,success
certificate_corruption,false_negative,0.0,0.0,6,scp_corrupted,1.0,39.0,193.88514099993844,7.0,38.77702819998769,success
certificate_corruption,false_negative,0.0,0.0,7,scp_corrupted,1.0,39.0,192.99304776049686,7.0,38.598609552099376,success
certificate_corruption,false_negative,0.0,0.0,8,scp_corrupted,1.0,41.0,214.87046239034794,9.0,42.97409247806959,success
certificate_corruption,false_negative,0.0,0.0,9,scp_corrupted,1.0,39.0,191.07284508289956,7.0,38.214569016579915,success
certificate_corruption,false_negative,0.0,0.0,10,scp_corrupted,1.0,43.0,241.26669432937854,11.0,48.25333886587571,success
certificate_corruption,false_negative,0.0,0.0,11,scp_corrupted,1.0,42.0,226.30815954503447,10.0,45.261631909006894,success
certificate_corruption,false_negative,0.0,0.0,12,scp_corrupted,1.0,43.0,250.30888044434022,11.0,50.061776088868044,success
certificate_corruption,false_negative,0.0,0.0,13,scp_corrupted,1.0,43.0,238.6762914183783,11.0,47.73525828367566,success
certificate_corruption,false_negative,0.0,0.0,14,scp_corrupted,1.0,39.0,193.86754610927574,7.0,38.77350922185515,success
certificate_corruption,false_negative,0.0,0.0,15,scp_corrupted,1.0,39.0,185.85872426880024,7.0,37.17174485376005,success
certificate_corruption,false_negative,0.0,0.0,16,scp_corrupted,1.0,41.0,215.2470570887638,9.0,43.049411417752765,success
certificate_corruption,false_negative,0.0,0.0,17,scp_corrupted,1.0,43.0,242.68908464561605,11.0,48.53781692912321,success
certificate_corruption,false_negative,0.0,0.0,18,scp_corrupted,1.0,43.0,242.81034500259094,11.0,48.56206900051819,success
certificate_corruption,false_negative,0.0,0.0,19,scp_corrupted,1.0,43.0,249.79988549866238,11.0,49.95997709973248,success
certificate_corruption,false_negative,0.0,0.0,20,scp_corrupted,1.0,40.0,201.60724071441572,8.0,40.32144814288315,success
certificate_corruption,false_negative,0.0,0.0,21,scp_corrupted,1.0,42.0,231.5033366792776,10.0,46.30066733585552,success
certificate_corruption,false_negative,0.0,0.0,22,scp_corrupted,1.0,43.0,246.89897611884405,11.0,49.37979522376881,success
certificate_corruption,false_negative,0.0,0.0,23,scp_corrupted,1.0,41.0,217.93042269713882,9.0,43.586084539427766,success
certificate_corruption,false_negative,0.0,0.0,24,scp_corrupted,1.0,42.0,232.29033698358847,10.0,46.458067396717695,success
certificate_corruption,false_negative,0.0,0.0,25,scp_corrupted,1.0,40.0,196.6515973921778,8.0,39.33031947843556,success
certificate_corruption,false_negative,0.0,0.0,26,scp_corrupted,1.0,43.0,250.47037114303347,11.0,50.0940742286067,success
certificate_corruption,false_negative,0.0,0.0,27,scp_corrupted,1.0,40.0,204.83912933125788,8.0,40.96782586625158,success
certificate_corruption,false_negative,0.0,0.0,28,scp_corrupted,1.0,40.0,209.78027328077306,8.0,41.95605465615461,success
certificate_corruption,false_negative,0.0,0.0,29,scp_corrupted,1.0,41.0,219.01863298736768,9.0,43.80372659747354,success
certificate_corruption,false_negative,0.05,0.0,0,scp_corrupted,1.0,42.0,228.4211734471695,9.5,45.68423468943391,success
certificate_corruption,false_negative,0.05,0.0,1,scp_corrupted,1.0,40.0,198.5091555471518,7.6,39.701831109430366,success
certificate_corruption,false_negative,0.05,0.0,2,scp_corrupted,1.0,40.0,197.47679045327718,7.6,39.49535809065544,success
certificate_corruption,false_negative,0.05,0.0,3,scp_corrupted,1.0,39.0,195.1292806134188,6.6499999999999995,39.02585612268376,success
certificate_corruption,false_negative,0.05,0.0,4,scp_corrupted,1.0,42.0,238.40199197190344,9.5,47.68039839438069,success
certificate_corruption,false_negative,0.05,0.0,5,scp_corrupted,1.0,39.0,193.08875868349352,6.6499999999999995,38.61775173669871,success
certificate_corruption,false_negative,0.05,0.0,6,scp_corrupted,1.0,39.0,192.02159678612992,6.6499999999999995,38.40431935722599,success
certificate_corruption,false_negative,0.05,0.0,7,scp_corrupted,1.0,42.0,240.11798354319973,9.5,48.02359670863995,success
certificate_corruption,false_negative,0.05,0.0,8,scp_corrupted,1.0,39.0,191.60029406793564,6.6499999999999995,38.32005881358713,success
certificate_corruption,false_negative,0.05,0.0,9,scp_corrupted,1.0,40.0,200.70521253282,7.6,40.141042506564006,success
certificate_corruption,false_negative,0.05,0.0,10,scp_corrupted,1.0,42.0,227.83516662541365,9.5,45.56703332508273,success
certificate_corruption,false_negative,0.05,0.0,11,scp_corrupted,1.0,40.0,202.45738025589213,7.6,40.49147605117843,success
certificate_corruption,false_negative,0.05,0.0,12,scp_corrupted,1.0,40.0,211.865405157782,7.6,42.3730810315564,success
certificate_corruption,false_negative,0.05,0.0,13,scp_corrupted,1.0,40.0,197.05313182262654,7.6,39.410626364525314,success
certificate_corruption,false_negative,0.05,0.0,14,scp_corrupted,1.0,42.0,240.32979433588085,9.5,48.06595886717617,success
certificate_corruption,false_negative,0.05,0.0,15,scp_corrupted,1.0,43.0,250.37099010523906,10.45,50.07419802104781,success
certificate_corruption,false_negative,0.05,0.0,16,scp_corrupted,1.0,40.0,206.53235393028393,7.6,41.30647078605679,success
certificate_corruption,false_negative,0.05,0.0,17,scp_corrupted,1.0,39.0,192.13062044643019,6.6499999999999995,38.42612408928604,success
certificate_corruption,false_negative,0.05,0.0,18,scp_corrupted,1.0,41.0,214.8911713176127,8.549999999999999,42.978234263522545,success
certificate_corruption,false_negative,0.05,0.0,19,scp_corrupted,1.0,42.0,226.291243207464,9.5,45.2582486414928,success
certificate_corruption,false_negative,0.05,0.0,20,scp_corrupted,1.0,40.0,208.35025951095784,7.6,41.670051902191574,success
certificate_corruption,false_negative,0.05,0.0,21,scp_corrupted,1.0,43.0,248.62937170745508,10.45,49.72587434149102,success
certificate_corruption,false_negative,0.05,0.0,22,scp_corrupted,1.0,39.0,187.70627516637066,6.6499999999999995,37.54125503327413,success
certificate_corruption,false_negative,0.05,0.0,23,scp_corrupted,1.0,41.0,221.16773225477942,8.549999999999999,44.233546450955885,success
certificate_corruption,false_negative,0.05,0.0,24,scp_corrupted,1.0,41.0,223.01456700685247,8.549999999999999,44.6029134013705,success
certificate_corruption,false_negative,0.05,0.0,25,scp_corrupted,1.0,39.0,197.68068796646952,6.6499999999999995,39.53613759329391,success
