family,map_size,extraction_noise,seed,policy,success,cost,expansions,true_cuts,false_positive_cuts,false_negative_cuts
geometry_proxy,20,0.0,0,scp_extracted,1.0,42.6,230.0,13,0.0,0.0
geometry_proxy,20,0.0,0,scp_conservative,1.0,45.0,280.0,13,0.0,0.0
geometry_proxy,20,0.0,0,scp_aggressive,1.0,40.9,180.0,13,0.0,0.0
geometry_proxy,20,0.0,0,exact_grid_lifted,1.0,45.0,2200,13,0,0
geometry_proxy,20,0.0,0,relaxed_grid,0.3,12.27,200,13,0,13
geometry_proxy,20,0.0,0,local_replan,0.48,22.08,260,13,0,13
geometry_proxy,20,0.0,1,scp_extracted,1.0,38.1,230.0,5,0.0,0.0
geometry_proxy,20,0.0,1,scp_conservative,1.0,40.0,280.0,5,0.0,0.0
geometry_proxy,20,0.0,1,scp_aggressive,1.0,36.65,180.0,5,0.0,0.0
geometry_proxy,20,0.0,1,exact_grid_lifted,1.0,40.5,1850,5,0,0
geometry_proxy,20,0.0,1,relaxed_grid,0.3,10.995,200,5,0,5
geometry_proxy,20,0.0,1,local_replan,0.48,19.68,260,5,0,5
geometry_proxy,20,0.0,2,scp_extracted,1.0,38.1,230.0,12,0.0,0.0
geometry_proxy,20,0.0,2,scp_conservative,1.0,40.0,280.0,12,0.0,0.0
geometry_proxy,20,0.0,2,scp_aggressive,1.0,36.65,180.0,12,0.0,0.0
geometry_proxy,20,0.0,2,exact_grid_lifted,1.0,40.5,1850,12,0,0
geometry_proxy,20,0.0,2,relaxed_grid,0.3,10.995,200,12,0,12
geometry_proxy,20,0.0,2,local_replan,0.48,19.68,260,12,0,12
geometry_proxy,20,0.0,3,scp_extracted,1.0,42.6,230.0,12,0.0,0.0
geometry_proxy,20,0.0,3,scp_conservative,1.0,45.0,280.0,12,0.0,0.0
geometry_proxy,20,0.0,3,scp_aggressive,1.0,40.9,180.0,12,0.0,0.0
geometry_proxy,20,0.0,3,exact_grid_lifted,1.0,45.0,2200,12,0,0
geometry_proxy,20,0.0,3,relaxed_grid,0.3,12.27,200,12,0,12
geometry_proxy,20,0.0,3,local_replan,0.48,22.08,260,12,0,12
geometry_proxy,20,0.0,4,scp_extracted,1.0,41.7,230.0,9,0.0,0.0
geometry_proxy,20,0.0,4,scp_conservative,1.0,44.0,280.0,9,0.0,0.0
