recovery_cost,recoverable_fraction,policy,replicates,mean_success,ci95_success,mean_cost,ci95_cost,mean_expansions,ci95_expansions,mean_recoveries,ci95_recoveries,mean_cut_count,ci95_cut_count
2,0.0,exact_recovery,30,1.0,0.0,35.690000000000005,0.8182610459445964,1125.0,45.458946996922016,0.0,0.0,6.766666666666667,0.5534416733710561
2,0.0,greedy_replan,30,0.3840000000000002,6.061199256285704e-17,15.3984,0.3491247129363612,192.8,7.273431519507523,0.0,0.0,6.766666666666667,0.5534416733710561
2,0.0,recovery_aware_scp,30,1.0,0.0,37.15999999999999,0.8485670106092107,193.4,6.6673122262152305,0.0,0.0,6.766666666666667,0.5534416733710561
2,0.0,relaxed_planner,30,0.23000000000000018,5.0509993802380865e-17,7.654400000000001,0.16728892494867315,92.0,3.0305964664614677,0.0,0.0,6.766666666666667,0.5534416733710561
2,0.0,strict_scp,30,1.0,0.0,47.00999999999999,1.149391032767742,149.6,5.455073639630642,0.0,0.0,6.766666666666667,0.5534416733710561
2,0.25,exact_recovery,30,1.0,0.0,37.18690476190477,0.9150510070995329,1097.5,46.79612789758248,1.130952380952381,0.09975064696973762,6.333333333333333,0.5586036230305307
2,0.25,greedy_replan,30,0.48900000000000027,8.081599008380939e-17,19.193250000000003,0.4576661308383567,186.0,7.487380463613196,0.7125000000000001,0.06284290759093471,6.333333333333333,0.5586036230305307
2,0.25,recovery_aware_scp,30,1.0,0.0,38.477777777777774,0.9396245033188106,190.16666666666666,6.863432091645428,1.0555555555555556,0.09310060383842178,6.333333333333333,0.5586036230305307
2,0.25,relaxed_planner,30,0.37500000000000006,0.0,12.225000000000003,0.28077676738549506,89.16666666666667,3.119741859838832,0.5541666666666667,0.04887781701517143,6.333333333333333,0.5586036230305307
2,0.25,strict_scp,30,1.0,0.0,45.599999999999994,1.3452847307899363,144.5,5.615535347709897,0.0,0.0,6.333333333333333,0.5586036230305307
2,0.5,exact_recovery,30,1.0,0.0,40.51023809523809,0.8153042474675929,1167.5,45.50445601522316,2.297619047619048,0.22435006171510377,6.433333333333334,0.6281801728022905
2,0.5,greedy_replan,30,0.5939999999999999,4.0407995041904695e-17,23.9679,0.5405929374608514,194.8,7.2807129624357065,1.4475,0.14134053888051534,6.433333333333334,0.6281801728022905
2,0.5,recovery_aware_scp,30,1.0,0.0,41.682222222222215,0.8342950336975808,201.23333333333332,6.6739868822327315,2.144444444444445,0.20939339093409684,6.433333333333334,0.6281801728022905
