family,recovery_cost,recoverable_fraction,seed,policy,success,cost,expansions,recoveries,cut_count
nonmonotone_recovery,2,0.0,0,strict_scp,1.0,47.4,164,0,4
nonmonotone_recovery,2,0.0,0,recovery_aware_scp,1.0,39.4,211.0,0.0,4
nonmonotone_recovery,2,0.0,0,exact_recovery,1.0,37.85,1245.0,0.0,4
nonmonotone_recovery,2,0.0,0,relaxed_planner,0.23000000000000004,8.096000000000002,100,0.0,4
nonmonotone_recovery,2,0.0,0,greedy_replan,0.384,16.32,212,0.0,4
nonmonotone_recovery,2,0.0,1,strict_scp,1.0,51.0,164,0,8
nonmonotone_recovery,2,0.0,1,recovery_aware_scp,1.0,39.4,211.0,0.0,8
nonmonotone_recovery,2,0.0,1,exact_recovery,1.0,37.85,1245.0,0.0,8
nonmonotone_recovery,2,0.0,1,relaxed_planner,0.23000000000000004,8.096000000000002,100,0.0,8
nonmonotone_recovery,2,0.0,1,greedy_replan,0.384,16.32,212,0.0,8
nonmonotone_recovery,2,0.0,2,strict_scp,1.0,51.9,164,0,9
nonmonotone_recovery,2,0.0,2,recovery_aware_scp,1.0,39.4,211.0,0.0,9
nonmonotone_recovery,2,0.0,2,exact_recovery,1.0,37.85,1245.0,0.0,9
nonmonotone_recovery,2,0.0,2,relaxed_planner,0.23000000000000004,8.096000000000002,100,0.0,9
nonmonotone_recovery,2,0.0,2,greedy_replan,0.384,16.32,212,0.0,9
nonmonotone_recovery,2,0.0,3,strict_scp,1.0,48.3,155,0,7
nonmonotone_recovery,2,0.0,3,recovery_aware_scp,1.0,38.0,200.0,0.0,7
nonmonotone_recovery,2,0.0,3,exact_recovery,1.0,36.5,1170.0,0.0,7
nonmonotone_recovery,2,0.0,3,relaxed_planner,0.23000000000000004,7.820000000000001,95,0.0,7
nonmonotone_recovery,2,0.0,3,greedy_replan,0.384,15.744,200,0.0,7
nonmonotone_recovery,2,0.0,4,strict_scp,1.0,48.300000000000004,146,0,9
nonmonotone_recovery,2,0.0,4,recovery_aware_scp,1.0,36.6,189.0,0.0,9
nonmonotone_recovery,2,0.0,4,exact_recovery,1.0,35.15,1095.0,0.0,9
nonmonotone_recovery,2,0.0,4,relaxed_planner,0.23000000000000004,7.5440000000000005,90,0.0,9
nonmonotone_recovery,2,0.0,4,greedy_replan,0.384,15.168000000000001,188,0.0,9
nonmonotone_recovery,2,0.0,5,strict_scp,1.0,42.0,128,0,6
nonmonotone_recovery,2,0.0,5,recovery_aware_scp,1.0,33.8,167.0,0.0,6
nonmonotone_recovery,2,0.0,5,exact_recovery,1.0,32.45,945.0,0.0,6
nonmonotone_recovery,2,0.0,5,relaxed_planner,0.23000000000000004,6.992000000000001,80,0.0,6
nonmonotone_recovery,2,0.0,5,greedy_replan,0.384,14.016,164,0.0,6
nonmonotone_recovery,2,0.0,6,strict_scp,1.0,45.6,137,0,8
nonmonotone_recovery,2,0.0,6,recovery_aware_scp,1.0,35.2,178.0,0.0,8
nonmonotone_recovery,2,0.0,6,exact_recovery,1.0,33.8,1020.0,0.0,8
nonmonotone_recovery,2,0.0,6,relaxed_planner,0.23000000000000004,7.268000000000002,85,0.0,8
nonmonotone_recovery,2,0.0,6,greedy_replan,0.384,14.592,176,0.0,8
nonmonotone_recovery,2,0.0,7,strict_scp,1.0,49.199999999999996,164,0,6
nonmonotone_recovery,2,0.0,7,recovery_aware_scp,1.0,39.4,211.0,0.0,6
nonmonotone_recovery,2,0.0,7,exact_recovery,1.0,37.85,1245.0,0.0,6
nonmonotone_recovery,2,0.0,7,relaxed_planner,0.23000000000000004,8.096000000000002,100,0.0,6
nonmonotone_recovery,2,0.0,7,greedy_replan,0.384,16.32,212,0.0,6
nonmonotone_recovery,2,0.0,8,strict_scp,1.0,49.2,155,0,8
nonmonotone_recovery,2,0.0,8,recovery_aware_scp,1.0,38.0,200.0,0.0,8
nonmonotone_recovery,2,0.0,8,exact_recovery,1.0,36.5,1170.0,0.0,8
nonmonotone_recovery,2,0.0,8,relaxed_planner,0.23000000000000004,7.820000000000001,95,0.0,8
nonmonotone_recovery,2,0.0,8,greedy_replan,0.384,15.744,200,0.0,8
nonmonotone_recovery,2,0.0,9,strict_scp,1.0,51.0,173,0,6
nonmonotone_recovery,2,0.0,9,recovery_aware_scp,1.0,40.8,222.0,0.0,6
nonmonotone_recovery,2,0.0,9,exact_recovery,1.0,39.2,1320.0,0.0,6
nonmonotone_recovery,2,0.0,9,relaxed_planner,0.23000000000000004,8.372000000000002,105,0.0,6
nonmonotone_recovery,2,0.0,9,greedy_replan,0.384,16.896,224,0.0,6
nonmonotone_recovery,2,0.0,10,strict_scp,1.0,44.699999999999996,137,0,7
nonmonotone_recovery,2,0.0,10,recovery_aware_scp,1.0,35.2,178.0,0.0,7
nonmonotone_recovery,2,0.0,10,exact_recovery,1.0,33.8,1020.0,0.0,7
nonmonotone_recovery,2,0.0,10,relaxed_planner,0.23000000000000004,7.268000000000002,85,0.0,7
nonmonotone_recovery,2,0.0,10,greedy_replan,0.384,14.592,176,0.0,7
nonmonotone_recovery,2,0.0,11,strict_scp,1.0,48.300000000000004,146,0,9
nonmonotone_recovery,2,0.0,11,recovery_aware_scp,1.0,36.6,189.0,0.0,9
nonmonotone_recovery,2,0.0,11,exact_recovery,1.0,35.15,1095.0,0.0,9
nonmonotone_recovery,2,0.0,11,relaxed_planner,0.23000000000000004,7.5440000000000005,90,0.0,9
nonmonotone_recovery,2,0.0,11,greedy_replan,0.384,15.168000000000001,188,0.0,9
nonmonotone_recovery,2,0.0,12,strict_scp,1.0,48.300000000000004,146,0,9
nonmonotone_recovery,2,0.0,12,recovery_aware_scp,1.0,36.6,189.0,0.0,9
nonmonotone_recovery,2,0.0,12,exact_recovery,1.0,35.15,1095.0,0.0,9
nonmonotone_recovery,2,0.0,12,relaxed_planner,0.23000000000000004,7.5440000000000005,90,0.0,9
nonmonotone_recovery,2,0.0,12,greedy_replan,0.384,15.168000000000001,188,0.0,9
nonmonotone_recovery,2,0.0,13,strict_scp,1.0,42.9,128,0,7
nonmonotone_recovery,2,0.0,13,recovery_aware_scp,1.0,33.8,167.0,0.0,7
nonmonotone_recovery,2,0.0,13,exact_recovery,1.0,32.45,945.0,0.0,7
nonmonotone_recovery,2,0.0,13,relaxed_planner,0.23000000000000004,6.992000000000001,80,0.0,7
nonmonotone_recovery,2,0.0,13,greedy_replan,0.384,14.016,164,0.0,7
nonmonotone_recovery,2,0.0,14,strict_scp,1.0,48.3,164,0,5
nonmonotone_recovery,2,0.0,14,recovery_aware_scp,1.0,39.4,211.0,0.0,5
nonmonotone_recovery,2,0.0,14,exact_recovery,1.0,37.85,1245.0,0.0,5
nonmonotone_recovery,2,0.0,14,relaxed_planner,0.23000000000000004,8.096000000000002,100,0.0,5
nonmonotone_recovery,2,0.0,14,greedy_replan,0.384,16.32,212,0.0,5
nonmonotone_recovery,2,0.0,15,strict_scp,1.0,41.1,128,0,5
nonmonotone_recovery,2,0.0,15,recovery_aware_scp,1.0,33.8,167.0,0.0,5
nonmonotone_recovery,2,0.0,15,exact_recovery,1.0,32.45,945.0,0.0,5
nonmonotone_recovery,2,0.0,15,relaxed_planner,0.23000000000000004,6.992000000000001,80,0.0,5
nonmonotone_recovery,2,0.0,15,greedy_replan,0.384,14.016,164,0.0,5
